state,district,year,season,crop,production_tonnes,rainfall_mm
Arunachal Pradesh,ANJAW,2004,Kharif,Maize,2674.0,2545.7
Arunachal Pradesh,ANJAW,2004,Kharif,Rice,1914.0,2545.7
Arunachal Pradesh,ANJAW,2004,Kharif,Small millets,495.0,2545.7
Arunachal Pradesh,ANJAW,2004,Rabi,Wheat,60.0,2545.7
Arunachal Pradesh,ANJAW,2004,Whole Year,Dry chillies,18.0,2545.7
Arunachal Pradesh,ANJAW,2004,Whole Year,Dry ginger,420.0,2545.7
Arunachal Pradesh,ANJAW,2004,Whole Year,Potato,688.0,2545.7
Arunachal Pradesh,ANJAW,2004,Whole Year,Sugarcane,50.0,2545.7
Arunachal Pradesh,ANJAW,2004,Whole Year,Turmeric,20.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Kharif,Maize,1440.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Kharif,Rice,18630.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Kharif,Small millets,1640.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Rabi,Wheat,401.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Whole Year,Dry chillies,415.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Whole Year,Dry ginger,145.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Whole Year,Oilseeds total,2578.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Whole Year,Potato,959.0,2545.7
Arunachal Pradesh,CHANGLANG,2004,Whole Year,Sugarcane,1600.0,2545.7
Arunachal Pradesh,DIBANG VALLEY,2004,Kharif,Maize,1533.0,2545.7
Arunachal Pradesh,DIBANG VALLEY,2004,Kharif,Rice,870.0,2545.7
Arunachal Pradesh,DIBANG VALLEY,2004,Kharif,Small millets,200.0,2545.7
Arunachal Pradesh,DIBANG VALLEY,2004,Whole Year,Dry chillies,152.0,2545.7
Arunachal Pradesh,DIBANG VALLEY,2004,Whole Year,Dry ginger,526.0,2545.7
Arunachal Pradesh,DIBANG VALLEY,2004,Whole Year,Oilseeds total,1480.0,2545.7
Arunachal Pradesh,DIBANG VALLEY,2004,Whole Year,Potato,326.0,2545.7
Arunachal Pradesh,EAST KAMENG,2004,Kharif,Maize,3481.0,2545.7
Arunachal Pradesh,EAST KAMENG,2004,Kharif,Rice,6651.0,2545.7
Arunachal Pradesh,EAST KAMENG,2004,Kharif,Small millets,436.0,2545.7
Arunachal Pradesh,EAST KAMENG,2004,Rabi,Wheat,32.0,2545.7
Arunachal Pradesh,EAST KAMENG,2004,Whole Year,Dry chillies,103.0,2545.7
Arunachal Pradesh,EAST KAMENG,2004,Whole Year,Dry ginger,222.0,2545.7
Arunachal Pradesh,EAST KAMENG,2004,Whole Year,Oilseeds total,905.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Kharif,Maize,5401.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Kharif,Rice,17499.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Kharif,Small millets,2470.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Rabi,Wheat,1000.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Whole Year,Dry chillies,88.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Whole Year,Dry ginger,4313.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Whole Year,Oilseeds total,80.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Whole Year,Potato,4163.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Whole Year,Sugarcane,150.0,2545.7
Arunachal Pradesh,EAST SIANG,2004,Whole Year,Turmeric,224.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Kharif,Maize,1714.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Kharif,Rice,7434.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Kharif,Small millets,676.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Rabi,Wheat,16.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Whole Year,Dry chillies,236.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Whole Year,Dry ginger,484.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Whole Year,Oilseeds total,1804.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Whole Year,Potato,2784.0,2545.7
Arunachal Pradesh,KURUNG KUMEY,2004,Whole Year,Sugarcane,1364.0,2545.7
Arunachal Pradesh,LOHIT,2004,Kharif,Maize,5123.0,2545.7
Arunachal Pradesh,LOHIT,2004,Kharif,Rice,9872.0,2545.7
Arunachal Pradesh,LOHIT,2004,Kharif,Small millets,76.0,2545.7
Arunachal Pradesh,LOHIT,2004,Rabi,Wheat,603.0,2545.7
Arunachal Pradesh,LOHIT,2004,Whole Year,Dry chillies,30.0,2545.7
Arunachal Pradesh,LOHIT,2004,Whole Year,Dry ginger,15610.0,2545.7
Arunachal Pradesh,LOHIT,2004,Whole Year,Oilseeds total,131.0,2545.7
Arunachal Pradesh,LOHIT,2004,Whole Year,Potato,1000.0,2545.7
Arunachal Pradesh,LOHIT,2004,Whole Year,Sugarcane,200.0,2545.7
Arunachal Pradesh,LOHIT,2004,Whole Year,Turmeric,420.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Kharif,Maize,9365.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Kharif,Rice,14895.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Kharif,Small millets,1005.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Rabi,Wheat,270.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Whole Year,Dry chillies,560.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Whole Year,Dry ginger,2430.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Whole Year,Oilseeds total,78.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Whole Year,Potato,335.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Whole Year,Sugarcane,1000.0,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Whole Year,Turmeric,389.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Kharif,Maize,2011.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Kharif,Rice,11167.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Kharif,Small millets,3368.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Whole Year,Dry chillies,112.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Whole Year,Dry ginger,309.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Whole Year,Oilseeds total,374.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Whole Year,Potato,1509.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Whole Year,Sugarcane,149.0,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2004,Whole Year,Turmeric,20.0,2545.7
